ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_07623,6567.78,6731.97,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11766,CANTOS JOSE MARIA HIJO,NUEVO DIARIO,Santiago del Estero,RES 617-E/2016,jun-18,no
2018_07610,17452.71,17889.03,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,11247,PUBLIEXITO S.A.,EL PLATA INFORMADOR,Buenos Aires,DTO 852-14,jun-18,si
2018_07609,196990.56,238358.58,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,14135,SELENE PUBLICIDAD S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 448-09,jun-18,no
2018_07608,16272.0,16678.8,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DTO 852-14,jun-18,si
2018_07577,43982.4,53218.7,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,RES 617-E/2016,jun-18,no
2018_07576,2880.0,2952.0,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11799,DIARIOS BONAERENSES S.A.      ,LA VOZ DE BRAGADO,Buenos Aires,RES 617-E/2016,jun-18,no
2018_07572,63974.4,77409.02,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,DA 562-10,jun-18,no
2018_07573,77209.92,93424.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,14135,SELENE PUBLICIDAD S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 562-10,jun-18,no
2018_07578,54704.23,66192.12,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,jun-18,no
2018_07574,75572.76,91443.04,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10,jun-18,no
2018_07575,86368.87,104506.33,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10,jun-18,no
2018_07579,136760.58,165480.3,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,jun-18,no
2018_07580,76962.06,93124.09,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,16068,DESARROLLOS ELECTR. INFORM. SA,AMBITO FINANCIERO,Capital Federal,DA 562-10,jun-18,no
2018_07563,1000000.0,1210000.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 562-10 B,jun-18,no
2018_07526,6545.0,6545.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11080,XHARDEZ Y COZZI S.R.L.,AM 640 LU18 RADIO DEL VALLE,Rio Negro,DA 562-10 B,jun-18,no
2018_07566,29291.85,35443.14,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11049,LA VOZ DEL INTERIOR S.A.,LA VOZ DEL INTERIOR,Córdoba,DA 448-09,jun-18,no
2018_07568,22708.18,23275.88,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,16902,PANORAMA PUBLICIDAD S.A.,EL TERRITORIO,Misiones,DA 448-09,jun-18,no
2018_07570,15950.0,19299.5,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,18937,VENTOLA NICOLAS TADEO         ,EL PREGON,Jujuy,DA 448-09,jun-18,no
2018_07565,21267.0,23500.04,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11265,EL LITORAL S.R.L.             ,EL LITORAL,Santa Fe,DA 448-09,jun-18,no
2018_07567,19000.0,22990.0,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,18937,VENTOLA NICOLAS TADEO         ,LA OPINION AUSTRAL,Santa Cruz,DA 448-09,jun-18,no
2018_07569,12282.5,13572.16,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11184,CUYO TELEVISION S.A.,EL SOL,Mendoza,DA 448-09,jun-18,no
2018_07571,16100.0,19481.0,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,18878,PALADAR NEGRO S.R.L.          ,DIARIO TODO UN PAIS,San Luis,DA 448-09,jun-18,no
2018_07564,38484.6,46566.37,Superintendencia de Riesgos del Trabajo,Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,RES 617-E/2016,jun-18,no
2018_07506,14141.79,14495.33,Intercargo S.A.C.,Aviso Legal,Grafica,13627,ESECOM S.A.,EL ECONOMISTA,Capital Federal,DA 562-10,jun-18,no
2018_07558,59823.0,72385.83,I.N.S.S.J.P. (Pami),Pami - Convocatoria Médicos de Cabecera,Grafica,11063,EDITORIAL RIO NEGRO S.A.      ,RIO NEGRO,Rio Negro,RES 617-E/2016,jun-18,no
2018_07559,50673.6,55994.33,I.N.S.S.J.P. (Pami),Pami - Convocatoria Médicos de Cabecera,Grafica,13999,COMUNICACIONES Y MEDIOS S.A.,LA MANANA DE NEUQUEN,Neuquen,RES 617-E/2016,jun-18,no
2018_07560,25233.53,27883.05,I.N.S.S.J.P. (Pami),Pami - Convocatoria Médicos de Cabecera,Grafica,13999,COMUNICACIONES Y MEDIOS S.A.,LA MANANA DE CIPOLLETTI,Rio Negro,RES 617-E/2016,jun-18,no
2018_07561,51425.0,62224.25,Presidencia de la Nacion,Agencia de Administración de Bienes del Estado - Licitación Pública Etapa Múltiple Internacional,Web,17650,MEDIAFOX S.A.,DG MARKET,Capital Federal,DA 448-09,jun-18,no
2018_07562,51425.0,62224.25,Presidencia de la Nacion,Agencia de Administración de Bienes del Estado - Licitación Pública Etapa Múltiple Internacional,Web,17650,MEDIAFOX S.A.,WWW.DEVBUSINESS.COM - DEVELOPMENT BUSINESS,Exterior,DA 448-09,jun-18,no
2018_07549,1836.0,2028.78,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11241,FRANCISCO MONTES S.A.C.I.F.,DIARIO DE CUYO,San Juan,DTO 852-14,jun-18,si
2018_07556,31987.2,38704.51,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,DA 562-10,jun-18,no
2018_07557,289571.2,350381.15,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,15398,ARTE GRAFICO EDITORIAL ARG. SA,CLARIN,Capital Federal,DA 562-10,jun-18,no
2018_07547,22844.43,23415.54,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,13627,ESECOM S.A.,EL ECONOMISTA,Capital Federal,DA 448-09,jun-18,no
2018_07548,273632.0,331094.72,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,15398,ARTE GRAFICO EDITORIAL ARG. SA,CLARIN,Capital Federal,DA 448-09,jun-18,no
2018_07540,18648.0,22564.08,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,11255,PUNTAL S.R.L.                 ,AM 1010 LV16 RADIO RIO CUARTO,Córdoba,RES 617-E/2016,jun-18,no
2018_07541,4536.0,4536.0,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 RIO IV,Córdoba,RES 617-E/2016,jun-18,no
2018_07542,5376.0,5376.0,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,18083,SUCESION DE MEZZA LUIS GUILLER,GAMBA NET,Córdoba,RES 617-E/2016,jun-18,no
2018_07543,7862.4,9513.5,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,15515,SENTIDOS S.A.,FM 96.9 RADIO BLUE,Córdoba,RES 617-E/2016,jun-18,no
2018_07544,12474.0,12474.0,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,11255,PUNTAL S.R.L.                 ,FM 93.9 RANQUEL STEREO,Córdoba,RES 617-E/2016,jun-18,no
2018_07545,6804.0,8232.84,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM 105.5 LIBRE,Córdoba,RES 617-E/2016,jun-18,no
2018_07510,8702.64,8920.21,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13627,ESECOM S.A.,EL ECONOMISTA,Capital Federal,DA 562-10,jun-18,no
2018_07537,6579.0,7269.8,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11384,HORIZONTES S.A.               ,EL TRIBUNO,Salta,DTO 852-14,jun-18,si
2018_06853,1081391.03,1108425.81,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Líneas de Ahorro y Préstamos,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DA 562-10 B,jun-18,no
2018_07546,6650.91,8047.6,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11095,LA GACETA S.A.                ,LA GACETA,Tucuman,DTO 852-14,jun-18,si
2018_07538,1105.0,1132.63,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,11766,CANTOS JOSE MARIA HIJO,NUEVO DIARIO,Santiago del Estero,DTO 852-14,jun-18,si
2018_07539,3971.88,4388.93,Banco Central de la Republica Argentina (Bcra),Aviso Legal,Grafica,13999,COMUNICACIONES Y MEDIOS S.A.,LA MANANA DE NEUQUEN,Neuquen,DTO 852-14,jun-18,si
2018_07536,151800.0,183678.0,Presidencia de la Nacion,Presidencia de la Nación - el Estado en Tu Barrio 2018,Via Publica,18979,ALTER MEDIOS S.A.             ,SEXTUPLES,Buenos Aires,DA 448-09,may-18,no
2018_07535,72242.78,87413.76,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Tv,11282,IMPERIO TELEVISION S.A.,CANAL 13,Córdoba,RES 617-E/2016,jun-18,no
2018_07528,18513.0,18513.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,12159,TV Y FM LAS BRISAS S.R.L.,FM 98.5 RADIO BRISAS,Buenos Aires,DA 562-10 B,jun-18,no
2018_07529,23188.0,28057.48,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,12351,DIFUSORA AUSTRAL S.A.,AM 670,Buenos Aires,DA 562-10 B,jun-18,no
2018_07530,27676.0,33487.96,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11044,EDITORIAL LA CAPITAL S.A.,LU 6 AM 760 ATLANTICA,Buenos Aires,DA 562-10 B,jun-18,no
2018_07521,500000.0,605000.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Redes,15460,GLOBAL MIND S.A.,WWW.FACEBOOK.COM,Capital Federal,DA 562-10 B,jun-18,no
2018_07522,500000.0,605000.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Redes,15460,GLOBAL MIND S.A.,INSTAGRAM STORIES,Buenos Aires,DA 562-10 B,jun-18,no
2018_07517,9537.0,9537.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11490,LT35 RADIOMON PERGAMINO S.A   ,LT 35 RADIO MON AM 1540,Buenos Aires,DA 562-10 B,jun-18,no
2018_07518,7442.6,9005.55,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,17624,EMPRESA PERIODIST. GRAFIS SRL ,LU10 AM1320 RADIO AZUL,Buenos Aires,DA 562-10 B,jun-18,no
2018_07519,2244.0,2715.24,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,17624,EMPRESA PERIODIST. GRAFIS SRL ,FM 95.7 RADIO 3,Buenos Aires,DA 562-10 B,jun-18,no
2018_07520,8123.28,9829.17,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,15909,PRAXIS S.R.L.,CADENA 9,Buenos Aires,DA 562-10 B,jun-18,no
2018_06730,51382.5,62172.83,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 MENDOZA,Mendoza,DA 448-09,jun-18,no
2018_07500,576810.0,637375.05,Energia Argentina Sa (Enarsa),Aviso Legal,Grafica,11384,HORIZONTES S.A.               ,EL TRIBUNO,Salta,RES 617-E/2016,jun-18,no
2018_06733,13502.25,13502.25,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 RIO IV,Córdoba,DA 448-09,jun-18,no
2018_06735,98011.8,118594.28,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 SANTA FE,Santa Fe,DA 448-09,jun-18,no
2018_06732,235821.45,285343.95,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 ARGENTINA PLAZA CORDOBA / LV 3 AM 700,Córdoba,DA 448-09,jun-18,no
2018_07505,196935.24,238291.64,Ministerio de Salud,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 448-09,jun-18,no
2018_07504,492730.26,544466.94,Energia Argentina Sa (Enarsa),Aviso Legal,Grafica,11044,EDITORIAL LA CAPITAL S.A.,LA PRENSA,Buenos Aires,RES 617-E/2016,jun-18,no
2018_07511,31987.2,38704.51,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,DA 562-10,jun-18,no
2018_07508,54704.23,66192.12,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,jun-18,no
2018_07507,43978.32,53213.77,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,16068,DESARROLLOS ELECTR. INFORM. SA,AMBITO FINANCIERO,Capital Federal,DA 562-10,jun-18,no
2018_07499,52775.46,52775.46,Presidencia de la Nacion,Presidencia de la Nación - el Estado en Tu Barrio 2018,Redes,18755,DIGITAL HIVE GROUP S.A.       ,FACEBOOK,Capital Federal,DA 448-09,jun-18,no
2018_07476,24750.0,24750.0,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Grafica,16462,SALAZAR ELIAS DANIEL          ,LA NUEVA MAÑANA,Córdoba,RES 617-E/2016,jun-18,no
2018_07477,52632.0,53947.8,I.N.S.S.J.P. (Pami),Pami - Nuevas Credenciales,Grafica,11091,EDITORIAL FUNDAMENTO S.A.     ,DIARIO PUNTAL,Córdoba,RES 617-E/2016,jun-18,no
2018_07512,17899.2,18346.68,Ministerio de Salud,Aviso Legal,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DTO 852-14,jun-18,si
2018_07502,3160.22,3239.23,Cent.- Ente Nac.Reg. de Electr,Aviso Legal,Grafica,11070,IMPRESORA CHUBUTENSE S.A.,EL CHUBUT,Chubut,DTO 852-14,jun-18,si
2018_07340,112323.75,135911.74,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 SANTA FE,Santa Fe,DA 448-09,jun-18,no
2018_07048,104094.4,125954.22,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 MENDOZA,Mendoza,DA 448-09,jun-18,no
2018_06754,13265.1,16050.77,Presidencia de la Nacion,Presidencia de la Nación - el Estado en Tu Barrio 2018,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 SANTA FE,Santa Fe,DA 448-09,jun-18,no
2018_06743,17051.85,20632.74,Presidencia de la Nacion,Presidencia de la Nación - el Estado en Tu Barrio 2018,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 MENDOZA,Mendoza,DA 448-09,jun-18,no
2018_07321,55000.0,55000.0,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 BARILOCHE,Rio Negro,DA 448-09,jun-18,no
2018_07332,55000.0,55000.0,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 RIO GALLEGOS,Santa Cruz,DA 448-09,jun-18,no
2018_07437,4488.0,4488.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,17524,ALTAMIRANO JORGE EDUARDO      ,FM 95.1 LRJ 824 Terra (La 100),San Luis,DA 562-10 B,jun-18,no
2018_07435,25058.0,30320.18,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11293,RADIODIFUSORA SALTA S.A.      ,AM 840 LV 9 RADIO SALTA,Salta,DA 562-10 B,jun-18,no
2018_07436,7854.0,9503.34,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM PROFESIONAL,Salta,DA 562-10 B,jun-18,no
2018_07438,37400.0,45254.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13223,BONITA S.R.L.,FM 97.3 RADIO BOING,Santa Fe,DA 562-10 B,jun-18,no
2018_07439,14960.0,18101.6,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11396,TELEVISION LITORAL S.A.,AM 1230 LT 2,Santa Fe,DA 562-10 B,jun-18,no
2018_07440,37400.0,37400.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,15855,DIAZ DE LEZANA EDMUNDO LUIS,FM 88.7 RADIO FAHRENHEIT,Santa Fe,DA 562-10 B,jun-18,no
2018_07441,7579.53,9171.23,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11139,RADIO MITRE S.A.,FM MITRE 99.5,Tucuman,DA 562-10 B,jun-18,no
2018_07442,2244.0,2715.24,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,LRA 15,Tucuman,DA 562-10 B,jun-18,no
2018_07432,16200.0,19602.0,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,13736,CIELO PLATENSE S.R.L.         ,FM 103.5 CIELO,Buenos Aires,DA 448-09,jun-18,no
2018_07433,20826.0,25199.46,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,13226,ROSSI EMILIANO,FM 105.9 RED PUERTO LIBRE,Buenos Aires,DA 448-09,jun-18,no
2018_07434,5967.0,7220.07,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM PLATENSE 89.9,Buenos Aires,DA 448-09,jun-18,no
2018_07425,9441.63,9441.63,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13310,COMPAT S.A.,FM 94.7 LA CINCO,Neuquen,DA 562-10 B,jun-18,no
2018_07426,45777.6,55390.9,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11090,RADIOINTEGRACION S.A.,AM 600 LU5,Neuquen,DA 562-10 B,jun-18,no
2018_07427,5236.0,6335.56,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,14781,MAP LEADING S.R.L.,FM 105.1 DE LA MONTAÑA,Neuquen,DA 562-10 B,jun-18,no
2018_07140,110678.5,133920.99,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Social,Cable,18911,DISCOVERY COMMUNICAT ARG SRL  ,DISCOVERY HOME & HEALTH,Capital Federal,DA 448-09,jun-18,no
2018_07421,12155.0,12155.0,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16615,RADIO SPORT SRL.,RADIO FIESTA,Jujuy,DA 562-10 B,jun-18,no
2018_07420,3702.6,4480.15,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,17624,EMPRESA PERIODIST. GRAFIS SRL ,FM 97.5 Libertad,La Pampa,DA 562-10 B,jun-18,no
2018_07428,47084.96,56972.8,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11139,RADIO MITRE S.A.,AM 810 RADIO MITRE,Córdoba,DA 562-10 B,jun-18,no
2018_07429,13838.0,16743.98,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11255,PUNTAL S.R.L.                 ,AM 1010 LV16 RADIO RIO CUARTO,Córdoba,DA 562-10 B,jun-18,no
2018_07430,103953.3,125783.49,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 ARGENTINA PLAZA CORDOBA / LV 3 AM 700,Córdoba,DA 562-10 B,jun-18,no
2018_07431,7579.53,9171.23,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,12097,FRECUENCIA PROD.PUBLICIT. S.A.,FM 104.1 MIA,Córdoba,DA 562-10 B,jun-18,no
2018_07422,16830.0,20364.3,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11294,RADIO DE CUYO S.A.,AM 720 LV 10,Mendoza,DA 562-10 B,jun-18,no
2018_07423,24212.76,29297.44,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,15672,UNOMEDIOS S.A.,FM 92.1 BRAVA,Mendoza,DA 562-10 B,jun-18,no
2018_07424,24212.76,29297.44,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,15672,UNOMEDIOS S.A.,AM 680 LV6 RADIO NIHUIL,Mendoza,DA 562-10 B,jun-18,no
2018_07443,4114.0,4977.94,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM MITRE 92.1,Entre Rios,DA 562-10 B,jun-18,no
2018_07444,9350.0,11313.5,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13623,J.G. REPRESENTACIONES S.A.    ,F5 101.1,Entre Rios,DA 562-10 B,jun-18,no
2018_07445,9350.0,11313.5,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,AM 1260 LT 14 RADIO GENERAL URQUIZA,Entre Rios,DA 562-10 B,jun-18,no
2018_07446,10472.0,12671.12,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,18937,VENTOLA NICOLAS TADEO         ,AM 560 LT15 RADIO DEL LITORAL,Entre Rios,DA 562-10 B,jun-18,no
2018_07418,7344.0,8886.24,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Social,Cable,18374,BARZI VERONICA BEATRIZ,METRO,Capital Federal,DA 448-09,jun-18,no
2018_07416,12529.0,15160.09,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,11150,GOMEZ JORGE FELIX,AM 900 LT7 RADIO PROVINCIA,Corrientes,DA 562-10 B,jun-18,no
2018_07417,1499526.0,1814426.46,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Cable,11774,ESTRELLAS SATELITAL S.A.,CRONICA TV,Capital Federal,DTO 852-14,jun-18,si
2018_07411,7412.68,7412.68,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16168,G Y B S.R.L.,RADIO 99.1 LIBERTAD,Chaco,DA 562-10 B,jun-18,no
2018_07412,3740.0,4525.4,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,AM 620 LRA 26,Chaco,DA 562-10 B,jun-18,no
2018_07413,6294.42,7616.25,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,AM 630 LU 4 RADIO PATAGONIA,Chubut,DA 562-10 B,jun-18,no
2018_07414,13464.0,16291.44,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13736,CIELO PLATENSE S.R.L.         ,FM 103.5 CIELO,Buenos Aires,DA 562-10 B,jun-18,no
2018_07415,7293.0,8824.53,Banco de la Nacion Argentina,Banco de la Nacion Argentina - Electrodomésticos de Eficiencia Energética,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM 100.3 MITRE,Buenos Aires,DA 562-10 B,jun-18,no
2018_07406,90000.0,108900.0,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,16237,COOP.DE TRAB.VOZ E I.DEL SUR L,FM 101.9 CANTILO,Buenos Aires,DA 448-09,jun-18,no
2018_07407,18191.25,22011.41,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,13939,TRD PUBLICIDAD Y COMUNIC. S.A.,FM 93.1 RADIO EL SIGLO,Buenos Aires,DA 448-09,jun-18,no
2018_07408,14580.0,17641.8,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Obras,Radio,13939,TRD PUBLICIDAD Y COMUNIC. S.A.,FM 88.9 SUR,Buenos Aires,DA 448-09,jun-18,no
2018_07410,2340379.08,2831858.69,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Redes,15460,GLOBAL MIND S.A.,WWW.FACEBOOK.COM,Capital Federal,DA 448-09,jun-18,no
2018_07405,1893099.0,2290649.79,Presidencia de la Nacion,Presidencia de la Nacion - Esta Pasando Social,Cable,11774,ESTRELLAS SATELITAL S.A.,CRONICA TV,Capital Federal,DTO 852-14,jun-18,si
