ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_03807,88434.0,97719.57,Ministerio de Salud,Aviso Legal,Grafica,11184,CUYO TELEVISION S.A.,EL SOL,Mendoza,DA 448-09,may-18,no
2018_03809,150616.26,166430.97,Ministerio de Salud,Aviso Legal,Grafica,11265,EL LITORAL S.R.L.             ,EL LITORAL,Santa Fe,DA 448-09,may-18,no
2018_03810,47793.38,47793.38,Ministerio de Salud,Aviso Legal,Grafica,11042,FAGON S.R.L.,EL SURENO,Tierra del Fuego,DA 448-09,may-18,no
2018_03811,212224.32,256791.43,Ministerio de Salud,Aviso Legal,Grafica,18937,VENTOLA NICOLAS TADEO         ,EL TERRITORIO,Misiones,DA 448-09,may-18,no
2018_03812,165000.0,199650.0,Ministerio de Salud,Aviso Legal,Grafica,18937,VENTOLA NICOLAS TADEO         ,LA OPINION AUSTRAL,Santa Cruz,DA 448-09,may-18,no
2018_03814,27715.0,33535.15,Comision Nacional de Actividades Espaciales,Aviso Legal,Web,17650,MEDIAFOX S.A.,WWW.DEVBUSINESS.COM - DEVELOPMENT BUSINESS,Exterior,DA 448-09,may-18,no
2018_03790,22411.95,22972.25,Ministerio de Salud,Aviso Legal,Grafica,11070,IMPRESORA CHUBUTENSE S.A.,EL CHUBUT,Chubut,DTO 852-14,may-18,si
2018_03791,6630.0,6795.75,Ministerio de Salud,Aviso Legal,Grafica,11766,CANTOS JOSE MARIA HIJO,NUEVO DIARIO,Santiago del Estero,DTO 852-14,may-18,si
2018_03792,15390.0,17005.95,Ministerio de Salud,Aviso Legal,Grafica,11241,FRANCISCO MONTES S.A.C.I.F.,DIARIO DE CUYO,San Juan,DTO 852-14,may-18,si
2018_03793,23625.0,24215.63,Ministerio de Salud,Aviso Legal,Grafica,13793,TALLERES EL TUNEL S.A.,LA VOZ DEL CHACO,Chaco,DTO 852-14,may-18,si
2018_03794,32497.2,35909.41,Ministerio de Salud,Aviso Legal,Grafica,13999,COMUNICACIONES Y MEDIOS S.A.,LM NEUQUEN,Neuquen,DTO 852-14,may-18,si
2018_03817,54704.23,66192.12,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,may-18,no
2018_03795,46652.76,56449.84,Ministerio de Salud,Aviso Legal,Grafica,11095,LA GACETA S.A.                ,LA GACETA,Tucuman,DTO 852-14,may-18,si
2018_03796,13594.56,13934.42,Ministerio de Salud,Aviso Legal,Grafica,11061,LA ARENA S.A.                 ,LA ARENA,La Pampa,DTO 852-14,may-18,si
2018_03797,66555.0,73543.28,Ministerio de Salud,Aviso Legal,Grafica,11384,HORIZONTES S.A.               ,EL TRIBUNO,Salta,DTO 852-14,may-18,si
2018_03798,46068.91,47220.63,Ministerio de Salud,Aviso Legal,Grafica,11247,PUBLIEXITO S.A.,EL PLATA INFORMADOR,Buenos Aires,DTO 852-14,may-18,si
