orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_05589,8862.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Empresa Periodist. Grafis Srl,RADIO 3,DA 448-09,2016-05-01
2016_05733,8868.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Radios del Comahue S.A.,AM 1000 LU 16 RADIO RIO NEGRO,DA 448-09,2016-05-01
2016_05714,8878.9,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Grafica,Francisco Montes S.A.C.I.F.,DIARIO DE CUYO,DA 448-09,2016-05-01
2016_03856,8910.0,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Pampa Difusora S.R.L.,LU 37 AM 980 Radio Gral. Pico,DA 448-09,2016-05-01
2016_05787,8997.32,Ministerio del Interior y Transporte,Campaña Renovacion de Dni - Ministerio del Interior,Radio,Imc Radios S.A.,FM 102.3 ASPEN,DA 448-09,2016-05-01
2016_04668,9075.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Via Publica,Ortega Agustin,GRANDES FORMATOS,DA 448-09,2016-05-01
2016_04623,9075.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,Abre Producciones S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_05343,9183.6,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Producciones y Programas S.A.,AM 990,DTO 852-14,2016-05-01
2016_05580,9262.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,La Voz de San Nicolas S.A.,AM 1430 LT 24,DA 448-09,2016-05-01
2016_04625,9317.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,Devicom S.A.,FM 95.5 CONCEPTO,DA 562-10,2016-05-01
2016_05083,9317.36,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Lt35 Radio Mon Pergamino S.A,LT35 AM 1540 RADIO MON,DA 448-09,2016-05-01
2016_05086,9377.5,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Barreiro Maximiliano Jose,AM 1540 LIDER,DA 448-09,2016-05-01
