orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_00455,246.0,Ministerio de Justicia y Derechos Humanos,Legal Enero,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00428,492.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00113,683.69,Ministerio de Salud,Legal Enero,Grafica,El Diario S.R.L.,EL DIARIO,DTO 852-14,2016-01-01
2016_00409,714.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Jakstas Silvana Paola,EL ALBA,DA 448-09,2016-01-01
2016_00452,740.52,Ministerio de Justicia y Derechos Humanos,Legal Enero,Grafica,Ediam S.A.,EL DIARIO DEL FIN DEL MUNDO,DA 448-09,2016-01-01
2016_00177,790.4,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Empresa Periodist. Grafis Srl,LA CAMPANA,DA 448-09,2016-01-01
2016_00344,881.22,Nacion Leasing S.A.,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00384,902.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00186,903.31,Direccion Nacional de Vialidad,Legal Enero,Grafica,Diario la Union S.A.,LA UNION,DA 448-09,2016-01-01
2016_00374,945.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Jakstas Silvana Paola,EL ALBA,DA 448-09,2016-01-01
2016_00333,961.01,Nacion Leasing S.A.,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00178,1016.23,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Empresa Periodist. Grafis Srl,LA CAMPANA,DA 448-09,2016-01-01
2016_00296,1110.25,Banco de la Nacion Argentina,Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-01-01
2016_00331,1121.17,Banco de la Nacion Argentina,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00346,1133.0,Banco de la Nacion Argentina,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00371,1150.05,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Acosta A.Ferrarini M.Rubens Ro,EL COLONO DEL OESTE,DA 448-09,2016-01-01
2016_00345,1258.88,Banco de la Nacion Argentina,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00332,1281.34,Banco de la Nacion Argentina,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00459,1333.01,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,El Heraldo S.R.L.,EL HERALDO,DA 448-09,2016-01-01
2016_00621,1339.8,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Bracone Roberto Orlando,AM 950,DTO 1145-09,2016-01-01
2016_00357,1357.92,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Pregon S.R.L.,EL DEBATE PREGON,DA 448-09,2016-01-01
2016_00402,1411.43,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Acosta A.Ferrarini M.Rubens Ro,EL COLONO DEL OESTE,DA 448-09,2016-01-01
2016_00467,1496.11,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Medios del Interior S.A.,LA MANANA,DA 448-09,2016-01-01
2016_00432,1505.52,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Pregon S.R.L.,EL DEBATE PREGON,DA 448-09,2016-01-01
2016_00115,1575.92,Ministerio de Salud,Legal Enero,Grafica,Contenidos S.A.,EL ZONDA,DTO 852-14,2016-01-01
2016_00558,1646.27,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Vivescas S.R.L.,LA CALLE,DTO 852-14,2016-01-01
2016_00615,1716.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Barovero Nelvio Bartolo,FM 101.3 RED PANORAMA,DTO 852-14,2016-01-01
2016_00126,1815.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Web,Gaceta Mercantil S.A.,GACETAMERCANTIL.COM,DTO 852-14,2016-01-01
2016_00106,1843.16,Ministerio de Salud,Legal Enero,Grafica,Diario Pregon S.R.L.,EL PREGON,DA 448-09,2016-01-01
2016_00418,1876.8,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Ramazzotti Maria Ana,NUEVO DIA,DA 448-09,2016-01-01
2016_00187,2018.34,Direccion Nacional de Vialidad,Legal Enero,Grafica,El Sol S.A.,EL SOL,DA 448-09,2016-01-01
2016_00403,2075.63,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editora del Centro S.A.,CASTELLANOS,DA 448-09,2016-01-01
2016_00183,2186.5,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 448-09,2016-01-01
2016_00181,2186.5,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 448-09,2016-01-01
2016_00375,2328.85,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Edin S.A.,EL INFORME,DA 448-09,2016-01-01
2016_00413,2359.9,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Edin S.A.,EL INFORME,DA 448-09,2016-01-01
2016_00386,2461.23,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Diario la Union S.A.,LA UNION,DA 448-09,2016-01-01
2016_00372,2490.75,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editora del Centro S.A.,CASTELLANOS,DA 448-09,2016-01-01
2016_00616,2492.6,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Srt Serv R y Tv Univ N Cdba Sa,AM 580 RADIO UNIVERSIDAD,DTO 852-14,2016-01-01
2016_00077,2520.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Queijeiro Bustillo Eduardo,FM 97.9 ALTOS,DTO 852-14,2016-01-01
2016_00610,2650.67,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodif. Sgo del Estero Sacei,AM 890 LV11 EMISORA SGO. DEL ESTERO,DTO 852-14,2016-01-01
2016_00565,2882.6,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Bracone Roberto Orlando,AM 950,DTO 1145-09,2016-01-01
2016_00430,2889.27,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Diario la Union S.A.,LA UNION,DA 448-09,2016-01-01
2016_00107,2895.3,Ministerio de Salud,Legal Enero,Grafica,El Independiente Copegraf Ltda,EL INDEPENDIENTE,DA 448-09,2016-01-01
2016_00342,2900.09,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Vivescas S.R.L.,LA CALLE,DTO 852-14,2016-01-01
2016_00390,2940.47,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial Famatina S.A.,NUEVA RIOJA,DA 448-09,2016-01-01
2016_00624,2979.68,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial los Alamos S.A.,EL CIUDADANO Y LA GENTE,DA 448-09,2016-01-01
2016_00364,3070.08,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Misiones Online Com S.R.L.,MISIONES ONLINE,DA 448-09,2016-01-01
2016_00601,3189.05,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Producciones y Programas S.A.,AM 990,DTO 852-14,2016-01-01
2016_00083,3360.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Disavia Claudia Elisabet,FM 106.1 UNIVERSAL,DTO 852-14,2016-01-01
2016_00620,3365.17,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodifusora Independencia S.R.L.,FM 99.9 REGIONAL,DTO 852-14,2016-01-01
2016_00369,3376.13,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Buffelli y Actis S.A.,LA OPINION,DA 448-09,2016-01-01
2016_00205,3531.26,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Estacion Marina S.A.,FM 101.9 ESTACION MARINA,DTO 852-14,2016-01-01
2016_00570,3641.7,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Srt Serv R y Tv Univ N Cdba Sa,AM 580 RADIO UNIVERSIDAD,DTO 852-14,2016-01-01
2016_00408,3688.52,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Solans Pedro Santiago,EL DIARIO,DA 448-09,2016-01-01
2016_00569,3692.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Barovero Nelvio Bartolo,FM 101.3 RED PANORAMA,DTO 852-14,2016-01-01
2016_00451,3695.59,Ministerio de Justicia y Derechos Humanos,Legal Enero,Grafica,Fagon S.R.L.,EL SURENO,DA 448-09,2016-01-01
2016_00105,3839.08,Ministerio de Salud,Legal Enero,Grafica,Editorial la Manana S.A.,LA MANANA,DA 448-09,2016-01-01
2016_00628,3952.53,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial Diario la Capital Sa,UNO,DA 448-09,2016-01-01
2016_00400,3963.28,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Buffelli y Actis S.A.,LA OPINION,DA 448-09,2016-01-01
2016_00406,4356.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Red Informativa S.R.L.,SEMANARIO SIN MORDAZA,DA 448-09,2016-01-01
2016_00587,4373.01,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-01-01
2016_00210,4443.12,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Rosario Difusion S.A.,AM 680,DTO 852-14,2016-01-01
2016_00562,4490.88,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodif. Sgo del Estero Sacei,AM 890 LV11 EMISORA SGO. DEL ESTERO,DTO 852-14,2016-01-01
2016_00376,4656.05,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Noa Contenidos S.R.L.,EL SIGLO,DA 448-09,2016-01-01
2016_00373,4739.33,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Red Informativa S.R.L.,SEMANARIO SIN MORDAZA,DA 448-09,2016-01-01
2016_00373,4739.33,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Red Informativa S.R.L.,SEMANARIO SIN MORDAZA,DA 448-09,2016-01-01
2016_00093,4943.46,Ministerio de Salud,Legal Enero,Grafica,La Opinion Austral S.A.,LA OPINION AUSTRAL,DA 448-09,2016-01-01
2016_00112,5012.13,Ministerio de Salud,Legal Enero,Grafica,Impresora Chubutense S.A.,EL CHUBUT,DTO 852-14,2016-01-01
2016_00116,5096.81,Ministerio de Salud,Legal Enero,Grafica,Cantos Jose Maria Hijo,NUEVO DIARIO,DTO 852-14,2016-01-01
2016_00559,5227.5,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Multimedios Norte Asoc. S.A.,EL TRIBUNO,DTO 852-14,2016-01-01
2016_00103,5238.74,Ministerio de Salud,Legal Enero,Grafica,L'Investment S.A.,EL LITORAL,DA 448-09,2016-01-01
2016_00631,5285.48,Banco de la Nacion Argentina,Legal Enero,Grafica,Alta Densidad S.R.L.,CRONICA,DA 562-10,2016-01-01
2016_00590,5295.89,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Amacom Media S.R.L.,EL COMERCIAL,DA 448-09,2016-01-01
2016_00399,5308.29,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Coop.De Trab.y Cons. la Prensa,EL DIARIO DE LA REGION,DA 448-09,2016-01-01
2016_00609,5310.08,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-01-01
2016_00389,5423.01,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Voz de San Justo S.R.L.,LA VOZ DE SAN JUSTO,DA 448-09,2016-01-01
2016_00102,5535.0,Ministerio de Salud,Legal Enero,Grafica,Talleres el Tunel S.A.,LA VOZ,DA 448-09,2016-01-01
2016_00407,5545.33,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Mc Medios S.A.,PUNTAL,DA 448-09,2016-01-01
2016_00626,5622.44,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-01-01
2016_00422,5690.73,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Coop.De Trab.y Cons. la Prensa,EL DIARIO DE LA REGION,DA 448-09,2016-01-01
2016_00571,5740.29,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Producciones y Programas S.A.,AM 990,DTO 852-14,2016-01-01
2015_09736,5746.0,Banco de la Nacion Argentina,Auspicio Revista Basquet Plus - B.N.A.,Via Publica,Gw Medios Srl,ACCIONES PUBLICITARIAS - VARIAS,DA 562-10,2016-01-01
2016_00300,5858.8,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Diario la Union S.A.,LA UNION,DA 448-09,2016-01-01
2016_00388,5897.84,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Independiente Copegraf Ltda,EL INDEPENDIENTE,DA 448-09,2016-01-01
2016_00111,5903.59,Ministerio de Salud,Legal Enero,Grafica,Editorial Capayan S.A.,EL ANCASTI,DTO 852-14,2016-01-01
2016_00619,5916.75,Banco de la Nacion Argentina,Legal Enero,Grafica,Impreba S.A.,DIARIO POPULAR,DA 562-10,2016-01-01
2016_00442,5916.75,Banco de la Nacion Argentina,Legal Enero,Grafica,Impreba S.A.,DIARIO POPULAR,DA 562-10,2016-01-01
2016_00180,5916.75,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Impreba S.A.,DIARIO POPULAR,DA 448-09,2016-01-01
2016_00182,5916.75,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Impreba S.A.,DIARIO POPULAR,DA 448-09,2016-01-01
2016_00379,5990.25,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Diario Pregon S.R.L.,EL PREGON,DA 448-09,2016-01-01
2016_00434,6078.2,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial el Dia S.R.L.,EL DIA,DA 448-09,2016-01-01
2016_00303,6109.64,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial Famatina S.A.,NUEVA RIOJA,DA 448-09,2016-01-01
2016_00458,6205.56,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial Diario la Capital Sa,LA CAPITAL,DA 448-09,2016-01-01
2016_00161,6210.27,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,Editorial del Tratado Srl,EL DIARIO REGIONAL,DTO 852-14,2016-01-01
2016_00560,6481.85,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodifusora Independencia S.R.L.,FM 99.9 REGIONAL,DTO 852-14,2016-01-01
2016_00352,6601.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Ediciones Integr. del Nea S.A.,PRIMERA LINEA,DA 448-09,2016-01-01
2016_00716,6627.78,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radio y Television Argent. Se,AM 870 RADIO NACIONAL,DA 448-09,2016-01-01
2016_00638,6633.84,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Cable,Grupo Mc Medios S.A.,CANAL 8,DA 448-09,2016-01-01
2016_00618,6764.12,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodifusora Independencia S.R.L.,FM 99.1 INDEPENDENCIA,DTO 852-14,2016-01-01
2016_00355,6813.18,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Heraldo S.R.L.,EL HERALDO,DA 448-09,2016-01-01
2016_00424,6888.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Ediciones Integr. del Nea S.A.,PRIMERA LINEA,DA 448-09,2016-01-01
2016_00361,6900.86,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Panorama Publicidad S.A.,EL TERRITORIO,DA 448-09,2016-01-01
2016_00412,6911.67,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial Max Trade S.R.L.,HOY DIA,DA 448-09,2016-01-01
2016_00411,7085.81,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Voz de San Justo S.R.L.,LA VOZ DE SAN JUSTO,DA 448-09,2016-01-01
2016_00433,7238.26,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Independiente Copegraf Ltda,EL INDEPENDIENTE,DA 448-09,2016-01-01
2016_00358,7293.84,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial el Dia S.R.L.,EL DIA,DA 448-09,2016-01-01
2016_00320,7328.97,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Noa Contenidos S.R.L.,EL SIGLO,DA 448-09,2016-01-01
2016_00612,7331.16,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Puntal S.R.L.,AM 1010 LV16 RADIO RIO CUARTO,DTO 852-14,2016-01-01
2016_00359,7370.67,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial la Manana S.A.,LA MANANA,DA 448-09,2016-01-01
2016_00383,7508.87,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Mc Medios S.A.,PUNTAL,DA 448-09,2016-01-01
2016_00172,7623.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Villalonga Julio Cesar,WWW.GACETARADIO.COM,DTO 852-14,2016-01-01
2016_00625,7756.95,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Editorial Diario la Capital Sa,LA CAPITAL,DA 448-09,2016-01-01
2016_00681,7791.07,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Sol S.A.,EL SOL,DA 448-09,2016-01-01
2016_00394,7791.07,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Sol S.A.,EL SOL,DA 448-09,2016-01-01
2016_00325,7791.07,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Sol S.A.,EL SOL,DA 448-09,2016-01-01
2016_00603,7799.34,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Rosario Difusion S.A.,AM 680,DTO 852-14,2016-01-01
2016_00423,7841.25,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Borras Claudia Andrea,EL URBANO,DA 448-09,2016-01-01
2016_00221,8005.02,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Radiointegracion S.A.,FM 94.7 LA CINCO,DA 448-09,2016-01-01
2016_00095,8063.1,Ministerio de Salud,Legal Enero,Grafica,Fagon S.R.L.,EL SURENO,DA 448-09,2016-01-01
2016_00171,8148.75,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,Edigar S.A.,REVISTA MAQUINAS Y EQUIPOS,DTO 852-14,2016-01-01
2016_00142,8231.35,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,Vivescas S.R.L.,LA CALLE,DTO 852-14,2016-01-01
2016_00360,8251.25,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Talleres el Tunel S.A.,FORMOSA,DA 448-09,2016-01-01
2016_00593,8346.78,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Amacom Media S.R.L.,EL COMERCIAL,DA 448-09,2016-01-01
2016_00385,8418.23,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Alvarez Teresa,EL DIARIO,DA 448-09,2016-01-01
2016_00122,8470.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Web,Nefir S.A.,WWW.AMBITO.COM,DTO 852-14,2016-01-01
2016_00230,8478.95,Banco de la Nacion Argentina,Legal Enero,Grafica,Editorial la Pagina S.A.,PAGINA 12,DA 562-10,2016-01-01
2016_00343,8573.1,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Multimedios Norte Asoc. S.A.,EL TRIBUNO,DTO 852-14,2016-01-01
2016_00437,8610.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Talleres el Tunel S.A.,FORMOSA,DA 448-09,2016-01-01
2016_00202,8613.7,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Cable,Grupo Sierra S.R.L.,CANAL 4 TELECUATRO,DTO 852-14,2016-01-01
2016_00436,8637.92,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,El Sol S.A.,EL SOL,DA 448-09,2016-01-01
2016_00391,8781.89,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editorial Max Trade S.R.L.,HOY DIA,DA 448-09,2016-01-01
2016_00398,8840.63,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Talleres el Tunel S.A.,LA VOZ,DA 448-09,2016-01-01
2016_00395,8840.63,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Talleres el Tunel S.A.,EL LIBERTADOR,DA 448-09,2016-01-01
2016_00438,8939.03,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Verdad S.R.L.,NOTICIAS DE LA CALLE,DA 448-09,2016-01-01
2016_00286,9004.72,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Tv,Tv Rio Diamante S.A.,CANAL 6,DTO 1145-09,2016-01-01
2016_00266,9080.4,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Torres Alicia Marta,FM 93.7 Tribuna,DA 448-09,2016-01-01
2016_00595,9174.26,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Gampp S.A.,FORMOSA EXPRES,DA 448-09,2016-01-01
2016_00420,9225.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Talleres el Tunel S.A.,LA VOZ,DA 448-09,2016-01-01
2016_00323,9409.5,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Borras Claudia Andrea,EL URBANO,DA 448-09,2016-01-01
2016_00591,9498.06,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Gampp S.A.,FORMOSA EXPRES,DA 448-09,2016-01-01
2016_00363,9534.96,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,La Verdad S.R.L.,NOTICIAS DE LA CALLE,DA 448-09,2016-01-01
2016_00417,9584.41,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Diario Pregon S.R.L.,EL PREGON,DA 448-09,2016-01-01
2016_00261,9873.9,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Simone Francisco Humberto,FM 94.5 HORIZONTE,DA 448-09,2016-01-01
2016_00614,10019.24,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Srt Serv R y Tv Univ N Cdba Sa,AM 580 RADIO UNIVERSIDAD,DTO 852-14,2016-01-01
2016_00260,10033.84,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Diario el Cordillerano S.R.L.,FM 93.7 Tribuna,DA 448-09,2016-01-01
2016_00150,10036.8,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,Multimedios Norte Asoc. S.A.,EL TRIBUNO,DTO 852-14,2016-01-01
2016_00251,10053.3,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Velasco Francisco Angel,FM 96.9 RADIO 1,DA 448-09,2016-01-01
2016_00299,10250.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Ubenza S.A.,EL INTRANSIGENTE,DA 448-09,2016-01-01
2016_00362,10438.27,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Primera Edicion S.A.,PRIMERA EDICION,DA 448-09,2016-01-01
2016_00204,10528.42,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Radiodif. Sgo del Estero Sacei,AM 890 LV11 EMISORA SGO. DEL ESTERO,DTO 852-14,2016-01-01
2016_00072,10531.84,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,La Nueva Radio S.A.,FM 92.1 PLAZA,DTO 852-14,2016-01-01
2016_00651,10570.96,Nacion Seguros S.A.,Legal Enero,Grafica,Alta Densidad S.R.L.,CRONICA,DA 562-10,2016-01-01
2016_00393,10628.55,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,L'Investment S.A.,EL LITORAL,DA 448-09,2016-01-01
2016_00396,10681.32,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Editora Correntina S.A.,EPOCA,DA 448-09,2016-01-01
2016_00629,10684.91,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,El Litoral S.R.L.,EL LITORAL,DA 448-09,2016-01-01
2016_00225,10810.0,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Radiodifusora Patagonica S.A.,FM 103.1 DINAMICA,DA 448-09,2016-01-01
2016_00283,10961.34,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Mediamax S.A.,FM 104.1 DEL BOSQUE,DA 448-09,2016-01-01
2016_00224,10961.34,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Mapu Media S.A.,FM 93.1 ROCK & POP,DA 448-09,2016-01-01
2016_00354,11009.12,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,S.A. Entre Rios,EL DIARIO DE PARANA,DA 448-09,2016-01-01
2016_00215,11167.62,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Colon S.A. de Radiodifusion y Television,AM 560 LV1 RADIO COLON,DTO 1145-09,2016-01-01
2016_00067,11178.49,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,Editorial del Tratado Srl,EL DIARIO REGIONAL,DTO 852-14,2016-01-01
2016_00265,11242.4,Presidencia de la Nacion,Incendios Forestales - Presidencia de la Nacion,Radio,Rothschild Raul Julio,FM 102.9 RADIO AMPM,DA 448-09,2016-01-01
2016_00070,11392.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Radio,Patagonia Net S.A.,FM 96.9 TRELEW NOTICIAS,DTO 852-14,2016-01-01
2016_00574,11400.02,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Radiodifusora Independencia S.R.L.,FM 99.1 INDEPENDENCIA,DTO 852-14,2016-01-01
