ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_09337,5500.00,6655.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,13592,DEVICOM S.A.,FM 95.5 CONCEPTO,Capital Federal,DA 562-10,jul-16
2016_09394,5000.00,6050.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,15106,LOPEZ PABLO OMAR,AM 1030 RADIO DEL PLATA,Capital Federal,DA 562-10,jul-16
2016_09067,30000.00,36300.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Web,13754,MISIONES ONLINE COM S.R.L.,WWW.MISIONESONLINE.NET,Misiones,DA 562-10,jul-16
2016_09507,5000.00,5000.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Web,17557,PAVESIO LUIS ALBERTO,WWW.NOTICIASAMBIENTALES.COM.AR,Capital Federal,DA 562-10,jul-16
2016_09816,10299.96,10557.46,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,14228,COOP.DE TRAB.Y CONS. LA PRENSA,EL DIARIO DE LA REGION,Chaco,DA 448-09,jul-16
2016_08944,5740.00,5740.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,18255,PATAGONIA NET S.A.,FM 96.9 TRELEW NOTICIAS,Chubut,DTO 852-14,jul-16
2016_10622,116600.00,141086.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11013,RED CELESTE Y BLANCA S.A.,AM 910 LA RED,Capital Federal,DA 448-09,jul-16
2016_09199,10000.00,12100.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Web,16543,LOPEZ DANIEL HORACIO,WWW.DIARIODECULTURA.COM.AR,Capital Federal,DA 448-09,jul-16
2016_10573,13600.00,13600.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,18083,MEZZA LUIS GUILLERMO,FM 101.7 GAMBA RIO IV,Cordoba,DA 448-09,jul-16
2016_19455,450000.00,450000.00,Pellegrini S.A. Gerente de Fondos Comunes de Inversion,Patrocinio Teatro Colon / Temporada 2016 - Pellegrini Fci,Sponsoreo,18553,TEATRO COLON MUNICIPALIDAD CDAD DE BSAS,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_08287,1450000.00,1754500.00,Banco de la Nacion Argentina,"B.N.A. / Auspicio Exposicion Rural 16 - 130 Exposicion de Ganaderia,Agricultura E Industria Internacional",Sponsoreo,13359,LA RURAL S. A.,Exposición Rural 2016.,Buenos Aires,DA 562-10,jul-16
2016_08515,66585.60,68250.24,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 562-10,jul-16
2016_09147,15000.00,18150.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Radio,15106,LOPEZ PABLO OMAR,FM 95.5 CONCEPTO,Capital Federal,DA 448-09,jul-16
2016_02956,89000.00,107690.00,Banco de la Nacion Argentina,Campaña Tarjeta Nativa - Carteles en Mendoza / Banco de la Nacion Argentina,Sponsoreo,16959,LALUCOM S.A.,ACCIONES PUBLICITARIAS - VARIAS,,DA 562-10,jul-16
2016_09738,250000.00,302500.00,Banco de la Nacion Argentina,Bna - Sponsor Campeonato Top Race,Sponsoreo,18566,AUTOMOVILISMO DEPORTIVO S. A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09110,8355.84,8564.74,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11103,EDITORIAL JORNADA S.A.,JORNADA,Chubut,DTO 852-14,jul-16
2016_11077,7761.60,8576.57,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia - Trata de Personas,Grafica,11047,LA REFORMA S.R.L.,LA REFORMA,La Pampa,DTO 852-14,jul-16
2016_09930,250000.00,302500.00,Banco de la Nacion Argentina,Bna - Sponsor Campeonato Top Race,Sponsoreo,18566,AUTOMOVILISMO DEPORTIVO S. A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_08666,31073.28,34335.97,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DTO 852-14,jul-16
2016_09441,53091.00,64240.11,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 8,San Juan,DA 562-10,jul-16
2016_08531,1817229.96,2198848.25,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,11508,DIARIO LOS ANDES HNOS CALLE SA,LOS ANDES,Mendoza,DA 562-10,jul-16
2016_08312,14250.00,17242.50,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,16578,RADIO Y TELEVISION ARGENT. SE,AM 630 LU 4 RADIO PATAGONIA,Chubut,DA 562-10,jul-16
2016_08342,5530.00,6691.30,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,17624,EMPRESA PERIODIST. GRAFIS SRL,LV 26 AM 1430,Cordoba,DA 562-10,jul-16
2016_08688,79315.20,95971.39,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 8,San Juan,DA 562-10,jul-16
2016_22294,482138.76,583387.90,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 448-09,jul-16
2016_10777,15000.00,15000.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15869,SIGLO XXI S.R.L.,FM 103.7 VALE,Tucuman,DA 448-09,jul-16
2016_08239,15000.00,18150.00,Banco de la Nacion Argentina,Campaña Institucional,Cable,14938,FOJA CERO PRODUCCIONES S.R.L.,METRO,Capital Federal,DA 562-10,jul-16
2016_22144,1878608.66,2273116.48,Ministerio de Salud,Campaña Cuidados de Invierno - Ministerio de Salud,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 448-09,jul-16
2016_10540,9189.18,9418.91,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Grafica,11102,EDITORIAL CAPAYAN S.A.,EL ANCASTI,Catamarca,DTO 852-14,jul-16
2016_08570,190000.00,229900.00,Banco de la Nacion Argentina,Bna - Sponsor Carrera de Aventura / Naturaleza Run - Etapa de Invierno,Sponsoreo,17906,HETS AVENTURA AUTOCT. A.CIVIL,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_07501,72222.22,87388.89,Banco de la Nacion Argentina,Auspicio Tour Nativa 2016/17 - B.N.A.,Sponsoreo,18531,M2R S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09108,4402.00,4512.05,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11035,EL DIARIO S.R.L.,EL DIARIO,La Pampa,DTO 852-14,jul-16
2016_07500,72222.22,87388.89,Banco de la Nacion Argentina,Auspicio Tour Nativa 2016/17 - B.N.A.,Sponsoreo,18531,M2R S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09260,25000.00,30250.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Radio,13658,DORENAVANT S.A.,AM 590 RADIO CONTINENTAL,Capital Federal,DA 448-09,jul-16
2016_08377,5700.00,6897.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,11090,RADIOINTEGRACION S.A.,FM 94.7 LA CINCO,Neuquen,DA 562-10,jul-16
2016_10886,20320.20,20828.21,Presidencia de la Nacion,Presidencia de la Nacion - Pymes,Grafica,13235,L J K EDITORIAL S.A.,TIEMPO SUR,Santa Cruz,DA 448-09,jul-16
2016_08943,553420.00,669638.20,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Cable,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,TN,Capital Federal,DA 448-09,jul-16
2016_10795,40939.74,49537.09,I.N.S.S.J.P. (Pami),Legal Julio,Grafica,13920,IMPREBA S.A.,DIARIO POPULAR,Capital Federal,DA 448-09,jul-16
2016_07496,72222.22,87388.89,Banco de la Nacion Argentina,Auspicio Tour Nativa 2016/17 - B.N.A.,Sponsoreo,18531,M2R S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09290,804000.00,972840.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Tv,18496,POMELO COMUNICACIONES Y SERVICIOS S.R.L.,ESPN,Capital Federal,DA 448-09,jul-16
2016_08969,234500.00,283745.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Tv,18496,POMELO COMUNICACIONES Y SERVICIOS S.R.L.,ESPN,Capital Federal,DA 448-09,jul-16
2016_09519,132467.40,146376.48,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Julio,Grafica,11238,EDITORIAL AMFIN S.A.,AMBITO FINANCIERO,Capital Federal,DA 562-10,jul-16
2016_20557,40450.00,48944.50,Presidencia de la Nacion,Turismo de Invierno 2016 - Presidencia de la Nacion,Via Publica,16227,UMBRA S.A.,FRONTLIGHT,,DA 448-09,jul-16
2016_07867,90000.00,108900.00,Ministerio de Salud,Campaña Cuidados de Invierno - Ministerio de Salud,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 11 TELEFE,Capital Federal,DA 448-09,jul-16
2016_08852,5000.00,5000.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Web,18027,PAZ LANDEIRA FLORENCIA,WWW.NOSDIGITAL.COM.AR,Capital Federal,DA 448-09,jul-16
2016_02253,200000.00,242000.00,Nacion Seguros S.A.,Auspicio Mariano Pernia en Tc 2000,Sponsoreo,18461,PERNIA MARIANO ANDRES,ESTATICA EN AUTO DE CARRERA,,DA 562-10,jul-16
2016_04254,93000.00,112530.00,Banco de la Nacion Argentina,Auspicio Pymes Focus 2016 - Bna,Sponsoreo,17341,CONTROL B. S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_03362,200000.00,200000.00,Banco de la Nacion Argentina,Auspicio Eventos Corporativos el Cronista,Sponsoreo,11117,EL CRONISTA COMERCIAL S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_03363,200000.00,200000.00,Banco de la Nacion Argentina,Auspicio Eventos Corporativos el Cronista,Sponsoreo,11117,EL CRONISTA COMERCIAL S.A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_07988,2437.50,2498.44,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Grafica,13793,TALLERES EL TUNEL S.A.,EL LIBERTADOR,Corrientes,DA 448-09,jul-16
2016_08667,4402.00,4512.05,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11035,EL DIARIO S.R.L.,EL DIARIO,La Pampa,DTO 852-14,jul-16
2016_08931,247640.00,299644.40,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,13515,SENAL ECONOMICA S.A.,AM 730 CONCEPTO,Capital Federal,DTO 852-14,jul-16
2016_09822,8262.00,8262.00,Presidencia de la Nacion,Campaña Apertura Tecnopolis 2016 - Presidencia de la Nacion,Radio,11490,LT35 RADIOMON PERGAMINO S.A,LT35 AM 1540 RADIO MON,Buenos Aires,DA 448-09,jul-16
2016_03128,105456.00,127601.76,Banco de la Nacion Argentina,"Sponsor Maratones ""K 21 Series Argentina"" y "" K42 Argentina"" - B.N.A.",Sponsoreo,18030,PATAGONIA EVENTOS S.R.L.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_08720,26880.00,27552.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,18548,AMPLITUD S.A.,DIARIO PRIMERA LINEA,Chaco,DA 448-09,jul-16
2016_03017,193000.00,233530.00,Banco de la Nacion Argentina,Sponsor del Campeonato de Rally Argentino 2016 - Bna,Sponsoreo,18180,GRUPO CREATOS S.R.L.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09106,38141.06,39094.59,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11070,IMPRESORA CHUBUTENSE S.A.,EL CHUBUT,Chubut,DTO 852-14,jul-16
2016_09095,329586.53,398799.70,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Tv,15515,SENTIDOS S.A.,CANAL 20,Cordoba,DA 448-09,jul-16
2016_09056,32800.00,39688.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,15515,SENTIDOS S.A.,FM DEL SOL 91.9,San Juan,DA 448-09,jul-16
2016_08612,178516.80,182979.72,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,11047,LA REFORMA S.R.L.,LA REFORMA,La Pampa,DTO 852-14,jul-16
2016_09097,410803.20,497071.87,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,15515,SENTIDOS S.A.,PARA TODOS,Buenos Aires,DA 448-09,jul-16
2016_09315,36462.90,44120.11,Presidencia de la Nacion,Campaña Apertura Tecnopolis 2016 - Presidencia de la Nacion,Radio,14325,RADIODIFUSORA MILENIUM S.A.,FM 106.7 MILENIUM,Capital Federal,DTO 852-14,jul-16
2016_10565,3225.24,3225.24,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11039,RED ANCASTI S.R.L.,FM 98.5 ANCASTI,Catamarca,DA 448-09,jul-16
2016_09613,8224.36,8224.36,Ministerio de Salud,Campaña Cuidados de Invierno - Ministerio de Salud,Radio,11039,RED ANCASTI S.R.L.,FM 98.5 ANCASTI,Catamarca,DA 448-09,jul-16
2016_08844,7934.09,7934.09,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,11039,RED ANCASTI S.R.L.,FM 98.5 ANCASTI,Catamarca,DA 448-09,jul-16
2016_09818,4050.00,4900.50,Presidencia de la Nacion,Campaña Apertura Tecnopolis 2016 - Presidencia de la Nacion,Radio,14034,BARREIRO MAXIMILIANO JOSE,FM RIO,Buenos Aires,DA 448-09,jul-16
2016_08812,10045.00,12154.45,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,14034,BARREIRO MAXIMILIANO JOSE,AM 1540 LIDER,Buenos Aires,DA 448-09,jul-16
2016_11714,13000.00,15730.00,Presidencia de la Nacion,Auspicio Institucional Ain - Presidencia de la Nacion,Web,16413,AGENC. ISLAMICA DE NOTICIAS SA,WWW.AIN.COM.AR,Capital Federal,DA 448-09,jul-16
2016_00006,62720.00,75891.20,Banco de la Nacion Argentina,Auspicio Mar del Plata Aquarium,Sponsoreo,16495,7 K TRADE S.A.,ACCIONES PUBLICITARIAS - VARIAS,,DA 562-10,jul-16
2016_00020,725609.00,877986.89,Banco de la Nacion Argentina,Institucional / Tarjetas - B.N.A. ( Apsa Media ),Sponsoreo,18135,VIA SHOPPING S.A.,ACCIONES PUBLICITARIAS - VARIAS,,DA 562-10,jul-16
2016_08451,168300.00,203643.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,11246,EDITORIAL PERFIL S.A.,REVISTA NOTICIAS,Capital Federal,DA 562-10,jul-16
2015_22700,18000.00,18000.00,Banco de la Nacion Argentina,Auspicio Maximiliano Estevez - B.N.A.,Sponsoreo,18362,ESTEVEZ MAXIMILIANO,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09502,5000.00,6050.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Web,16543,LOPEZ DANIEL HORACIO,WWW.DIARIODECULTURA.COM.AR,Capital Federal,DA 562-10,jul-16
2016_10183,4692.00,4809.30,Direccion Nacional de Vialidad,Legal Julio,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 448-09,jul-16
2016_07959,7711.20,8520.88,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Grafica,11243,DIARIO LA NUEVA PROVINCIA SRL,LA NUEVA,Buenos Aires,DA 448-09,jul-16
2016_10188,4692.00,4809.30,Direccion Nacional de Vialidad,Legal Julio,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 448-09,jul-16
2016_10232,2033.20,2084.03,Direccion Nacional de Vialidad,Legal Julio,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 448-09,jul-16
2016_11048,15536.64,15925.06,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia - Trata de Personas,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 448-09,jul-16
2016_08956,85358.00,103283.18,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Cable,15092,STADIUM ENTERPRISES S.A.,FOX SPORTS,Capital Federal,DA 448-09,jul-16
2016_10017,7768.32,7962.53,Presidencia de la Nacion,Campaña Super 4 - Presidencia de la Nacion,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 448-09,jul-16
2016_08221,15000.00,18150.00,Banco de la Nacion Argentina,Campaña Institucional,Radio,14236,LAGOS EDUARDO LUIS,FM 107.1 MERIDIANO,Santa Fe,DA 562-10,jul-16
2016_11236,100000.00,121000.00,Presidencia de la Nacion,Presidencia de la Nacion - Pymes,Web,17822,IMS ARGENTINA S.R.L.,www.linkedin.com,Capital Federal,DA 448-09,jul-16
2016_10680,18924.57,22898.73,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15672,UNOMEDIOS S.A.,AM 680 LV6 RADIO NIHUIL,Mendoza,DA 448-09,jul-16
2016_09844,37457.34,45323.38,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,15672,UNOMEDIOS S.A.,AM 680 LV6 RADIO NIHUIL,Mendoza,DA 448-09,jul-16
2016_08552,26021.28,31485.75,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,15672,UNOMEDIOS S.A.,AM 680 LV6 RADIO NIHUIL,Mendoza,DA 562-10,jul-16
2016_09426,17977.50,21752.78,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 6,Mendoza,DA 562-10,jul-16
2016_08764,54039.60,65387.92,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 6,Mendoza,DA 562-10,jul-16
2016_09850,13236.03,16015.60,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,15672,UNOMEDIOS S.A.,FM 88.3 LATINOS,Mendoza,DA 448-09,jul-16
2016_08997,24120.00,29185.20,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Tv,15946,CORDOBA CLAUDIO GUSTAVO,CANAL SOMOS LA PAMPA,La Pampa,DA 448-09,jul-16
2016_08542,2100.00,2541.00,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Tv,15946,CORDOBA CLAUDIO GUSTAVO,CANAL SOMOS LA PAMPA,La Pampa,DA 448-09,jul-16
2016_09258,10000.00,12100.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Cable,14899,"ALONSO PINEIRO, KARINA ALEJ.",METRO,Capital Federal,DA 448-09,jul-16
2016_09548,18470.40,22349.18,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Cable,15092,STADIUM ENTERPRISES S.A.,FOX SPORTS,Capital Federal,DA 448-09,jul-16
2016_09953,974256.00,1178849.76,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Via Publica,15840,LATIN AMERICAN COMMUNICAT. S.A,CARTELES,,DA 448-09,jul-16
2016_09055,17650.50,21357.11,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,15515,SENTIDOS S.A.,FM AFTER 90.7,San Luis,DA 448-09,jul-16
2016_09804,9754.52,9754.52,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,11142,DIFUSORA ENTRERRIANA SA R Y TV,AM 560 LT15 RADIO DEL LITORAL,Entre Rios,DA 448-09,jul-16
2016_10614,133103.88,161055.69,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Grafica,11095,LA GACETA S.A.,LA GACETA,Tucuman,DA 448-09,jul-16
2016_06968,50000.00,60500.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11095,LA GACETA S.A.,LA GACETA,Tucuman,DA 448-09,jul-16
2016_08556,9900.00,11979.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,11814,VOCACION S.R.L.,FM 95.5 METRO,Mendoza,DA 562-10,jul-16
2016_09465,6000.00,7260.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Cable,13628,DEMARCO MARIA NELIDA,CANAL SANTA MARIA,Buenos Aires,DA 562-10,jul-16
2016_09451,78030.00,94416.30,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 5 ROSARIO,Santa Fe,DA 562-10,jul-16
2016_08698,232356.00,281150.76,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 5 ROSARIO,Santa Fe,DA 562-10,jul-16
2016_07992,518.78,531.75,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Grafica,17708,PACHE SUR S.A.,LA PRENSA,Santa Cruz,DA 448-09,jul-16
2016_08546,40320.00,48787.20,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,18548,AMPLITUD S.A.,DIARIO PRIMERA LINEA,Chaco,DA 562-10,jul-16
2016_08995,259464.21,313951.69,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 5 ROSARIO,Santa Fe,DA 448-09,jul-16
2016_10041,39000.00,47190.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Via Publica,18557,PROURBE S.R.L.,PANTALLAS LED,,DA 448-09,jul-16
2016_09410,90000.00,108900.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,16578,RADIO Y TELEVISION ARGENT. SE,CANAL 7 TV PUBLICA,Capital Federal,DA 562-10,jul-16
2016_07588,30000.00,30750.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,18023,VAMOS VIENDO S.R.L.,REVISTA BARCELONA,Capital Federal,DA 448-09,jul-16
2016_09938,18000.00,21780.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,13623,J.G. REPRESENTACIONES S.A.,REVISTA PUNTO A PUNTO,Cordoba,DA 448-09,jul-16
2016_09920,211600.00,256036.00,Ministerio de Salud,Campaña Cuidados de Invierno - Ministerio de Salud,Grafica,11508,DIARIO LOS ANDES HNOS CALLE SA,REVISTA RUMBOS,Cordoba,DA 448-09,jul-16
2016_09319,12572.85,15213.15,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Cable,16089,GRUPO SIERRA S.R.L.,CANAL 4 TELECUATRO,Buenos Aires,DTO 852-14,jul-16
2016_08020,1377.00,1377.00,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,11142,DIFUSORA ENTRERRIANA SA R Y TV,AM 560 LT15 RADIO DEL LITORAL,Entre Rios,DA 448-09,jul-16
2016_09382,5000.00,6050.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,16494,BACHER SILVIA BEATRIZ,AM 990 RADIO SPLENDID,Capital Federal,DA 562-10,jul-16
2016_08454,114580.00,138641.80,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,14082,EDITORIAL ATLANTIDA S.A.,REVISTA PAPARAZZI,Capital Federal,DA 562-10,jul-16
2016_10075,110925.00,113698.13,Ministerio de Salud,Campaña Cuidados de Invierno - Ministerio de Salud,Grafica,18574,COOPERATIVA DE TRAB. POR MÁS TIEMPO LTDA,TIEMPO ARGENTINO,Buenos Aires,DA 448-09,jul-16
2016_08744,7183.08,7362.66,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,17708,PACHE SUR S.A.,LA PRENSA,Santa Cruz,DA 448-09,jul-16
2016_08555,25842.46,31269.38,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,15672,UNOMEDIOS S.A.,FM 94.9 BRAVA,Mendoza,DA 562-10,jul-16
2016_09427,81600.00,98736.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 7,Mendoza,DA 562-10,jul-16
2016_08004,11475.00,13884.75,Banco de la Nacion Argentina,Campaña Institucional,Tv,15672,UNOMEDIOS S.A.,CANAL 7,Mendoza,DA 562-10,jul-16
2016_09569,7068.60,7245.32,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,12364,DIARIO EL CORDILLERANO S.R.L.,EL CORDILLERANO,Rio Negro,DA 448-09,jul-16
2016_09329,5000.00,6050.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,13304,FONTOIRA HOLLMANN LUIS PEDRO,AM 770 RADIO COOPERATIVA,Capital Federal,DA 562-10,jul-16
2016_10260,191884.95,232180.79,Presidencia de la Nacion,Campaña Apertura Tecnopolis 2016 - Presidencia de la Nacion,Radio,11119,LS4 RADIO CONTINENTAL S.A.,AM 590 RADIO CONTINENTAL,Capital Federal,DA 448-09,jul-16
2016_10621,173196.00,209567.16,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11119,LS4 RADIO CONTINENTAL S.A.,AM 590 RADIO CONTINENTAL,Capital Federal,DA 448-09,jul-16
2016_08677,37036.50,37036.50,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11452,DIARIO LA VERDAD ARZ.MER-LUJAN,LA VERDAD,Buenos Aires,DTO 852-14,jul-16
2016_09038,8497935.49,10282501.94,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 448-09,jul-16
2016_09038,8497935.49,10282501.94,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 448-09,jul-16
2016_09111,25524.48,26162.59,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DTO 852-14,jul-16
2016_09941,8888.75,9822.07,Ministerio del Interior y Transporte,Legales Julio 2016,Grafica,11114,EDITORIAL SARMIENTO S.A.,CRONICA,Capital Federal,DTO 1145-09,jul-16
